student_id,session_id,timestamp,snapshot_index,tab_switch,idle_time,clicks,mouse_movement,replay_count,skip_count,playback_speed,state,focus_score
1,S000157,2025-11-30 05:07:00,0,9,55.3,20,762.6,0,0,2.3,distracted,43.19
1,S000157,2025-11-30 05:08:25,1,10,16.6,28,228.8,0,0,1.86,distracted,46.94
1,S000157,2025-11-30 05:11:38,2,9,62.1,12,603.4,0,0,2.3,distracted,43.84
1,S000157,2025-11-30 05:10:48,4,3,45.1,47,1373.4,1,0,1.84,focused,56.88
1,S000157,2025-11-30 05:21:40,5,1,19.6,50,2452.0,0,0,1.85,focused,73.11
1,S000157,2025-11-30 05:19:18,6,2,81.8,46,1666.4,5,0,1.49,confused,81.27
1,S000157,2025-11-30 05:26:22,7,4,74.2,38,1812.9,12,0,1.19,confused,73.68
1,S000157,2025-11-30 05:12:44,8,6,77.2,34,1425.8,4,0,2.23,bored,59.94
1,S000157,2025-11-30 05:13:45,9,7,67.3,10,427.7,1,0,2.51,bored,48.7
1,S000157,2025-11-30 05:19:10,10,5,63.2,6,277.7,0,0,2.15,bored,46.28
1,S000157,2025-11-30 05:35:03,11,6,83.2,19,83.3,0,0,2.08,bored,45.21
1,S000157,2025-11-30 05:16:00,12,4,31.6,45,1038.3,0,0,1.71,focused,58.84
1,S000488,2025-09-08 02:03:00,0,0,11.8,65,2364.6,0,0,1.85,focused,100.0
1,S000488,2025-09-08 02:04:37,1,0,6.0,63,2435.4,1,0,1.93,focused,100.0
1,S000488,2025-09-08 02:05:24,2,2,17.3,65,1920.2,1,0,1.74,focused,97.39
1,S000488,2025-09-08 02:10:06,3,2,19.2,61,2594.3,0,0,1.84,focused,96.09
1,S000488,2025-09-08 02:14:52,4,1,28.4,62,1930.6,1,0,1.74,focused,94.25
1,S000689,2025-09-20 04:22:00,0,2,31.8,67,2247.8,0,0,1.92,focused,93.04
1,S000689,2025-09-20 04:23:07,1,1,22.7,67,2276.4,2,0,1.67,focused,95.21
1,S000689,2025-09-20 04:25:44,2,1,19.0,59,1908.1,1,0,1.86,focused,94.33
1,S000689,2025-09-20 04:24:57,3,4,41.8,34,1335.4,1,0,2.26,bored,83.7
1,S000689,2025-09-20 04:32:20,5,7,129.2,15,312.0,0,0,2.61,bored,60.12
1,S000689,2025-09-20 04:32:18,6,8,65.3,11,234.7,0,1,2.7,bored,41.68
1,S000689,2025-09-20 04:42:04,7,7,57.0,11,380.5,0,1,2.72,bored,34.26
1,S000689,2025-09-20 04:40:00,8,6,36.9,15,216.1,0,1,1.89,bored,41.99
